title,price,link_item,index,discount,sales,category
Combo 2 Sữa bột công thức Semper Nutradefense Baby 2 400g/hộp,632.610₫,https://tiki.vn/combo-2-sua-bo-t-cong-thu-c-semper-nutradefense-baby-2-400g-hop-p204053432.html?spid=204053433,1,-10%,Đã bán 2,dinhduongchobe
Sữa Công Thức Bước 4 Bellamy's Organic (900g/Hộp),850.000₫,https://tiki.vn/sua-cong-thuc-buoc-4-bellamy-s-organic-900g-hop-p42581498.html?spid=99719097,2,-53%,Đã bán 37,dinhduongchobe
Bánh dinh dưỡng Dừa Sáp & Khoai Lang - Vicosap,69.000₫,https://tiki.vn/banh-dinh-duong-dua-sap-khoai-lang-vicosap-p251588256.html?spid=251588257,3,-31%,,dinhduongchobe
"Men vi sinh Jang Daewon Hàn Quốc cho trẻ có bổ sung D3, kẽm cải thiện biếng ăn, hấp thu kém Hộp 30 gói",410.000₫,https://tiki.vn/men-vi-sinh-jang-daewon-han-quoc-cho-tre-co-bo-sung-d3-kem-cai-thien-bieng-an-hap-thu-kem-hop-30-goi-p196763335.html?spid=196763337,4,-22%,,dinhduongchobe
FERRODUE 15ml – Bổ sung sắt cho trẻ dạng nhỏ giọt,215.000₫,https://tiki.vn/ferrodue-15ml-bo-sung-sat-cho-tre-dang-nho-giot-p262908907.html?spid=262908908,5,-10%,Đã bán 2,dinhduongchobe
Combo 2 bánh trứng ăn dặm 2 vị cho bé từ 7 tháng tuổi (vị 6 loại rau củ và vị Tamago),135.000₫,https://tiki.vn/combo-2-banh-trung-an-dam-2-vi-cho-be-tu-7-thang-tuoi-vi-6-loai-rau-cu-va-vi-tamago-p92044204.html?spid=92044205,6,-63%,Đã bán 32,dinhduongchobe
Sữa Bột Nutifood Grow Plus+ Đỏ (900g) mẫu mới -dành cho trẻ suy dinh dưỡng thấp còi từ 1 tuổi - tặng kèm chú chuồn chuồn tre dễ thương,405.000₫,https://tiki.vn/sua-bot-nutifood-grow-plus-do-900g-mau-moi-danh-cho-tre-suy-dinh-duong-thap-coi-tu-1-tuoi-tang-kem-chu-chuon-chuon-tre-de-thuong-p70087195.html?spid=70087197,7,-31%,Đã bán 10,dinhduongchobe
Bột ăn dặm Nutricare Metacare Gạo lức trộn sữa & olive 200g,69.709₫,https://tiki.vn/bot-an-dam-nutricare-metacare-gao-luc-tron-sua-olive-200g-p200693980.html?spid=200693981,8,-25%,,dinhduongchobe
Ngũ cốc Calbee 5 màu,169.000₫,https://tiki.vn/ngu-coc-calbee-5-mau-p21494657.html?spid=114456468,9,-20%,Đã bán 9,dinhduongchobe
Baby Vit Drop cung cấp các vitamin cần thiết cho trẻ sơ sinh và trẻ nhỏ,290.000₫,https://tiki.vn/baby-vit-drop-cung-cap-cac-vitamin-can-thiet-cho-tre-so-sinh-va-tre-nho-p19556965.html?spid=19556967,10,-17%,Đã bán 34,dinhduongchobe
