title,price,link_item,index,discount,sales,category
"áo Hoodie nam nữ local brand PANDAX big logo đi phượt cá tính chống nắng mưa , áo khoác cặp đôi hoodie nỉ form rộng unisex chất nỉ chân cua tay bồng oversize",127.000₫,https://tiki.vn/ao-hoodie-nam-nu-local-brand-pandax-big-logo-di-phuot-ca-tinh-chong-nang-mua-ao-khoac-cap-doi-hoodie-ni-form-rong-unisex-chat-ni-chan-cua-tay-bong-oversize-p272450581.html?spid=272450587,1,-28%,,aohoodie
Áo Sweater Rnroll THE MIDDLE,350.000₫,https://tiki.vn/ao-sweater-rnroll-the-middle-p187955405.html?spid=187955422,2,,,aohoodie
Áo khoác hoodie unisex Local Brand BYS - MKS3,550.000₫,https://tiki.vn/ao-khoac-hoodie-unisex-local-brand-bys-mks3-p221792178.html?spid=221792195,3,,,aohoodie
Áo Hoodie Basic (CÓ NHIỀU MÀU),430.000₫,https://tiki.vn/ao-hoodie-basic-co-nhieu-mau-p187955560.html?spid=187955581,4,,,aohoodie
Áo sweater BỘ Xương dài tay chi tiết cá tính nang động phong cách đường phố,135.000₫,https://tiki.vn/ao-sweater-bo-xuong-dai-tay-chi-tiet-ca-tinh-nang-dong-phong-cach-duong-pho-p195472573.html?spid=195472575,5,,,aohoodie
Áo hoodie rộng rãi nam nữ dễ phối đồ học sinh đẹp trai cặp đôi cáo bạc lót chống nắng mặc ấm,137.000₫,https://tiki.vn/ao-hoodie-rong-rai-nam-nu-de-phoi-do-hoc-sinh-dep-trai-cap-doi-cao-bac-lot-chong-nang-mac-am-p273651656.html?spid=273651666,6,,,aohoodie
"Áo Hoodie Nỉ Bông Form Rộng Nam Nữ Unisex Dáng Oversize Xám Tiêu In Chữ Retroments ( Hd xám), áo khoác hoodie cặp đôi chống nắng",136.000₫,https://tiki.vn/ao-hoodie-ni-bong-form-rong-nam-nu-unisex-dang-oversize-xam-tieu-in-chu-retroments-hd-xam-ao-khoac-hoodie-cap-doi-chong-nang-p273650954.html?spid=273650960,7,,,aohoodie
"áo hoodie in Chữ Love, áo khoác hoodie couple trái tim phong cách hàn quốc phù hợp cho nam nữ Oversize Ulzzang thu đông local brand",127.000₫,https://tiki.vn/ao-hoodie-in-chu-love-ao-khoac-hoodie-couple-trai-tim-phong-cach-han-quoc-phu-hop-cho-nam-nu-oversize-ulzzang-thu-dong-local-brand-p272449566.html?spid=272449576,8,,,aohoodie
Áo hoodie nam nữ unisex nỉ bông dày dặn sweater fom rộng hàn quốc ulzzang In Chữ 2 Mặt LET CHILL,136.000₫,https://tiki.vn/ao-hoodie-nam-nu-unisex-ni-bong-day-dan-sweater-fom-rong-han-quoc-ulzzang-in-chu-2-mat-let-chill-p273650931.html?spid=273650950,9,,,aohoodie
Áo sweater nỉ bông cotton dày mịn - hoodie form rộng unisex Murabed - 2N Unisex,199.000₫,https://tiki.vn/ao-sweater-ni-bong-cotton-day-min-hoodie-form-rong-unisex-murabed-2n-unisex-p217176969.html?spid=217176971,10,,Đã bán 1,aohoodie
